# wavelength (nm), relative flux
1.000000000000000000e+00,9.999999999999880096e-01
1.099909990999099918e+00,9.999999999999853451e-01
1.199819981998199836e+00,9.999999999999824585e-01
1.299729972997299754e+00,9.999999999999793499e-01
1.399639963996399672e+00,9.999999999999761302e-01
1.499549954995499590e+00,9.999999999999723554e-01
1.599459945994599508e+00,9.999999999999684697e-01
1.699369936993699426e+00,9.999999999999644729e-01
1.799279927992799344e+00,9.999999999999600320e-01
1.899189918991899262e+00,9.999999999999555911e-01
1.999099909990999180e+00,9.999999999999505951e-01
2.099009900990099098e+00,9.999999999999453770e-01
2.198919891989199016e+00,9.999999999999401590e-01
2.298829882988298934e+00,9.999999999999342748e-01
2.398739873987398852e+00,9.999999999999283906e-01
2.498649864986498770e+00,9.999999999999222844e-01
2.598559855985598688e+00,9.999999999999156231e-01
2.698469846984698606e+00,9.999999999999090727e-01
2.798379837983798524e+00,9.999999999999018563e-01
2.898289828982898442e+00,9.999999999998946398e-01
2.998199819981998360e+00,9.999999999998872013e-01
3.098109810981097834e+00,9.999999999998793188e-01
3.198019801980197752e+00,9.999999999998713252e-01
3.297929792979297670e+00,9.999999999998628875e-01
3.397839783978397588e+00,9.999999999998542277e-01
3.497749774977497506e+00,9.999999999998452349e-01
3.597659765976597424e+00,9.999999999998359090e-01
3.697569756975697342e+00,9.999999999998264721e-01
3.797479747974797260e+00,9.999999999998168132e-01
3.897389738973897177e+00,9.999999999998064881e-01
3.997299729972997095e+00,9.999999999997963851e-01
4.097209720972097458e+00,9.999999999997857270e-01
4.197119711971197376e+00,9.999999999997746247e-01
4.297029702970297294e+00,9.999999999997635225e-01
4.396939693969397212e+00,9.999999999997519762e-01
4.496849684968497129e+00,9.999999999997402078e-01
4.596759675967597047e+00,9.999999999997282174e-01
4.696669666966696965e+00,9.999999999997157829e-01
4.796579657965796883e+00,9.999999999997030153e-01
4.896489648964896801e+00,9.999999999996900257e-01
4.996399639963996719e+00,9.999999999996768141e-01
5.096309630963095749e+00,9.999999999996632694e-01
5.196219621962195667e+00,9.999999999996491695e-01
5.296129612961295585e+00,9.999999999996350697e-01
5.396039603960395503e+00,9.999999999996205258e-01
5.495949594959495421e+00,9.999999999996059818e-01
5.595859585958595339e+00,9.999999999995907718e-01
5.695769576957695257e+00,9.999999999995754507e-01
5.795679567956795175e+00,9.999999999995596855e-01
5.895589558955895093e+00,9.999999999995436983e-01
5.995499549954995011e+00,9.999999999995273781e-01
6.095409540954094929e+00,9.999999999995105027e-01
6.195319531953194847e+00,9.999999999994937383e-01
6.295229522952294765e+00,9.999999999994765298e-01
6.395139513951394683e+00,9.999999999994588773e-01
6.495049504950494601e+00,9.999999999994408917e-01
6.594959495949594519e+00,9.999999999994227950e-01
6.694869486948694437e+00,9.999999999994039213e-01
6.794779477947794355e+00,9.999999999993852695e-01
6.894689468946894273e+00,9.999999999993661737e-01
6.994599459945994191e+00,9.999999999993466338e-01
7.094509450945094109e+00,9.999999999993268718e-01
7.194419441944194027e+00,9.999999999993066657e-01
7.294329432943293945e+00,9.999999999992860156e-01
7.394239423942393863e+00,9.999999999992652544e-01
7.494149414941493781e+00,9.999999999992440491e-01
7.594059405940593699e+00,9.999999999992225108e-01
7.693969396939693617e+00,9.999999999992007504e-01
7.793879387938793535e+00,9.999999999991784350e-01
7.893789378937893453e+00,9.999999999991560085e-01
7.993699369936993371e+00,9.999999999991331379e-01
8.093609360936092401e+00,9.999999999991098232e-01
8.193519351935194095e+00,9.999999999990863975e-01
8.293429342934292237e+00,9.999999999990623056e-01
8.393339333933393931e+00,9.999999999990382138e-01
8.493249324932492073e+00,9.999999999990135668e-01
8.593159315931593767e+00,9.999999999989885868e-01
8.693069306930691909e+00,9.999999999989632737e-01
8.792979297929793603e+00,9.999999999989377386e-01
8.892889288928891744e+00,9.999999999989115373e-01
8.992799279927993439e+00,9.999999999988850030e-01
9.092709270927091580e+00,9.999999999988584687e-01
9.192619261926191498e+00,9.999999999988313792e-01
9.292529252925291416e+00,9.999999999988039567e-01
9.392439243924391334e+00,9.999999999987763122e-01
9.492349234923491252e+00,9.999999999987478905e-01
9.592259225922591170e+00,9.999999999987193577e-01
9.692169216921691088e+00,9.999999999986903809e-01
9.792079207920791006e+00,9.999999999986611821e-01
9.891989198919890924e+00,9.999999999986315391e-01
9.991899189918990842e+00,9.999999999986013410e-01
1.009180918091809076e+01,9.999999999985710319e-01
1.019171917191719068e+01,9.999999999985402788e-01
1.029162916291629060e+01,9.999999999985091925e-01
1.039153915391539051e+01,9.999999999984774401e-01
1.049144914491449043e+01,9.999999999984453547e-01
1.059135913591359035e+01,9.999999999984131582e-01
1.069126912691269027e+01,9.999999999983805177e-01
1.079117911791179019e+01,9.999999999983475441e-01
1.089108910891089010e+01,9.999999999983137933e-01
1.099099909990999002e+01,9.999999999982800425e-01
1.109090909090908994e+01,9.999999999982456256e-01
1.119081908190818986e+01,9.999999999982109866e-01
1.129072907290728978e+01,9.999999999981756815e-01
1.139063906390638969e+01,9.999999999981403764e-01
1.149054905490548961e+01,9.999999999981045162e-01
1.159045904590458953e+01,9.999999999980683230e-01
1.169036903690368945e+01,9.999999999980314636e-01
1.179027902790278937e+01,9.999999999979942711e-01
1.189018901890188928e+01,9.999999999979570786e-01
1.199009900990098920e+01,9.999999999979191090e-01
1.209000900090008912e+01,9.999999999978805842e-01
1.218991899189918904e+01,9.999999999978419485e-01
1.228982898289828896e+01,9.999999999978027576e-01
1.238973897389738887e+01,9.999999999977631226e-01
1.248964896489648879e+01,9.999999999977229326e-01
1.258955895589558871e+01,9.999999999976827425e-01
1.268946894689468863e+01,9.999999999976418863e-01
1.278937893789378855e+01,9.999999999976004750e-01
1.288928892889288846e+01,9.999999999975585085e-01
1.298919891989198838e+01,9.999999999975166531e-01
1.308910891089108830e+01,9.999999999974740206e-01
1.318901890189018822e+01,9.999999999974309439e-01
1.328892889288928814e+01,9.999999999973875342e-01
1.338883888388838805e+01,9.999999999973435694e-01
1.348874887488748797e+01,9.999999999972990494e-01
1.358865886588658789e+01,9.999999999972543074e-01
1.368856885688568781e+01,9.999999999972092324e-01
1.378847884788478773e+01,9.999999999971633802e-01
1.388838883888388764e+01,9.999999999971173059e-01
1.398829882988298756e+01,9.999999999970707876e-01
1.408820882088208748e+01,9.999999999970237141e-01
1.418811881188118740e+01,9.999999999969763076e-01
1.428802880288028732e+01,9.999999999969281239e-01
1.438793879387938723e+01,9.999999999968798292e-01
1.448784878487848715e+01,9.999999999968308684e-01
1.458775877587758707e+01,9.999999999967816855e-01
1.468766876687668699e+01,9.999999999967318365e-01
1.478757875787578691e+01,9.999999999966813213e-01
1.488748874887488682e+01,9.999999999966306952e-01
1.498739873987398674e+01,9.999999999965792918e-01
1.508730873087308666e+01,9.999999999965275554e-01
1.518721872187218658e+01,9.999999999964752639e-01
1.528712871287128650e+01,9.999999999964227504e-01
1.538703870387038641e+01,9.999999999963695707e-01
1.548694869486948633e+01,9.999999999963158359e-01
1.558685868586858625e+01,9.999999999962616570e-01
1.568676867686768617e+01,9.999999999962069230e-01
1.578667866786678609e+01,9.999999999961519670e-01
1.588658865886588600e+01,9.999999999960962338e-01
1.598649864986498592e+01,9.999999999960401675e-01
1.608640864086408584e+01,9.999999999959834351e-01
1.618631863186318753e+01,9.999999999959262587e-01
1.628622862286228568e+01,9.999999999958684160e-01
1.638613861386138382e+01,9.999999999958105734e-01
1.648604860486048551e+01,9.999999999957518426e-01
1.658595859585958721e+01,9.999999999956923347e-01
1.668586858685868535e+01,9.999999999956326047e-01
1.678577857785778349e+01,9.999999999955724306e-01
1.688568856885688518e+01,9.999999999955117014e-01
1.698559855985598688e+01,9.999999999954500840e-01
1.708550855085508502e+01,9.999999999953887997e-01
1.718541854185418316e+01,9.999999999953262941e-01
1.728532853285328486e+01,9.999999999952635665e-01
1.738523852385238300e+01,9.999999999952000618e-01
1.748514851485148469e+01,9.999999999951358909e-01
1.758505850585058283e+01,9.999999999950714979e-01
1.768496849684968453e+01,9.999999999950064389e-01
1.778487848784878267e+01,9.999999999949408247e-01
1.788478847884788436e+01,9.999999999948748775e-01
1.798469846984698250e+01,9.999999999948078200e-01
1.808460846084608420e+01,9.999999999947408735e-01
1.818451845184518234e+01,9.999999999946728169e-01
1.828442844284428404e+01,9.999999999946044271e-01
1.838433843384338218e+01,9.999999999945357043e-01
1.848424842484248387e+01,9.999999999944660933e-01
1.858415841584158201e+01,9.999999999943959272e-01
1.868406840684068371e+01,9.999999999943252060e-01
1.878397839783978185e+01,9.999999999942541518e-01
1.888388838883888354e+01,9.999999999941823203e-01
1.898379837983798168e+01,9.999999999941098228e-01
1.908370837083708338e+01,9.999999999940371032e-01
1.918361836183618152e+01,9.999999999939632733e-01
1.928352835283528321e+01,9.999999999938891104e-01
1.938343834383438136e+01,9.999999999938145034e-01
1.948334833483348305e+01,9.999999999937391193e-01
1.958325832583258119e+01,9.999999999936631800e-01
1.968316831683168289e+01,9.999999999935865747e-01
1.978307830783078103e+01,9.999999999935095252e-01
1.988298829882988272e+01,9.999999999934316985e-01
1.998289828982898086e+01,9.999999999933534278e-01
2.008280828082808256e+01,9.999999999932743799e-01
2.018271827182718070e+01,9.999999999931947769e-01
2.028262826282628239e+01,9.999999999931146188e-01
2.038253825382538054e+01,9.999999999930336836e-01
2.048244824482448223e+01,9.999999999929521932e-01
2.058235823582358037e+01,9.999999999928699257e-01
2.068226822682268207e+01,9.999999999927873251e-01
2.078217821782178021e+01,9.999999999927038363e-01
2.088208820882088190e+01,9.999999999926197924e-01
2.098199819981998004e+01,9.999999999925351934e-01
2.108190819081908174e+01,9.999999999924498173e-01
2.118181818181817988e+01,9.999999999923639971e-01
2.128172817281728157e+01,9.999999999922771776e-01
2.138163816381637972e+01,9.999999999921900251e-01
2.148154815481548141e+01,9.999999999921020954e-01
2.158145814581457955e+01,9.999999999920133886e-01
2.168136813681368125e+01,9.999999999919240157e-01
2.178127812781277939e+01,9.999999999918340876e-01
2.188118811881188108e+01,9.999999999917433824e-01
2.198109810981097922e+01,9.999999999916521221e-01
2.208100810081008092e+01,9.999999999915603066e-01
2.218091809180917906e+01,9.999999999914673809e-01
2.228082808280828075e+01,9.999999999913741222e-01
2.238073807380737890e+01,9.999999999912800863e-01
2.248064806480648059e+01,9.999999999911851623e-01
2.258055805580557873e+01,9.999999999910897941e-01
2.268046804680468043e+01,9.999999999909937598e-01
2.278037803780377857e+01,9.999999999908966153e-01
2.288028802880288026e+01,9.999999999907990267e-01
