# wavelength (nm), relative flux
1.000000000000000000e+00,9.999999999997184474e-01
1.099909990999099918e+00,9.999999999996587174e-01
1.199819981998199836e+00,9.999999999995932143e-01
1.299729972997299754e+00,9.999999999995214939e-01
1.399639963996399672e+00,9.999999999994442224e-01
1.499549954995499590e+00,9.999999999993605115e-01
1.599459945994599508e+00,9.999999999992709165e-01
1.699369936993699426e+00,9.999999999991751043e-01
1.799279927992799344e+00,9.999999999990736299e-01
1.899189918991899262e+00,9.999999999989656052e-01
1.999099909990999180e+00,9.999999999988511412e-01
2.099009900990099098e+00,9.999999999987309041e-01
2.198919891989199016e+00,9.999999999986042276e-01
2.298829882988298934e+00,9.999999999984712229e-01
2.398739873987398852e+00,9.999999999983322230e-01
2.498649864986498770e+00,9.999999999981867838e-01
2.598559855985598688e+00,9.999999999980343501e-01
2.698469846984698606e+00,9.999999999978759213e-01
2.798379837983798524e+00,9.999999999977110532e-01
2.898289828982898442e+00,9.999999999975396348e-01
2.998199819981998360e+00,9.999999999973612219e-01
3.098109810981097834e+00,9.999999999971768139e-01
3.198019801980197752e+00,9.999999999969853004e-01
3.297929792979297670e+00,9.999999999967866815e-01
3.397839783978397588e+00,9.999999999965820674e-01
3.497749774977497506e+00,9.999999999963701258e-01
3.597659765976597424e+00,9.999999999961515229e-01
3.697569756975697342e+00,9.999999999959260366e-01
3.797479747974797260e+00,9.999999999956938890e-01
3.897389738973897177e+00,9.999999999954544139e-01
3.997299729972997095e+00,9.999999999952081664e-01
4.097209720972097458e+00,9.999999999949548135e-01
4.197119711971197376e+00,9.999999999946940221e-01
4.297029702970297294e+00,9.999999999944266804e-01
4.396939693969397212e+00,9.999999999941516782e-01
4.496849684968497129e+00,9.999999999938697925e-01
4.596759675967597047e+00,9.999999999935806905e-01
4.696669666966696965e+00,9.999999999932838168e-01
4.796579657965796883e+00,9.999999999929799488e-01
4.896489648964896801e+00,9.999999999926680871e-01
4.996399639963996719e+00,9.999999999923492311e-01
5.096309630963095749e+00,9.999999999920231586e-01
5.196219621962195667e+00,9.999999999916889815e-01
5.296129612961295585e+00,9.999999999913474769e-01
5.396039603960395503e+00,9.999999999909980897e-01
5.495949594959495421e+00,9.999999999906412640e-01
5.595859585958595339e+00,9.999999999902765557e-01
5.695769576957695257e+00,9.999999999899037428e-01
5.795679567956795175e+00,9.999999999895238245e-01
5.895589558955895093e+00,9.999999999891354685e-01
5.995499549954995011e+00,9.999999999887392299e-01
6.095409540954094929e+00,9.999999999883347757e-01
6.195319531953194847e+00,9.999999999879223278e-01
6.295229522952294765e+00,9.999999999875018863e-01
6.395139513951394683e+00,9.999999999870731182e-01
6.495049504950494601e+00,9.999999999866369116e-01
6.594959495949594519e+00,9.999999999861916011e-01
6.694869486948694437e+00,9.999999999857378530e-01
6.794779477947794355e+00,9.999999999852762222e-01
6.894689468946894273e+00,9.999999999848063759e-01
6.994599459945994191e+00,9.999999999843273146e-01
7.094509450945094109e+00,9.999999999838401488e-01
7.194419441944194027e+00,9.999999999833442121e-01
7.294329432943293945e+00,9.999999999828398378e-01
7.394239423942393863e+00,9.999999999823266927e-01
7.494149414941493781e+00,9.999999999818047769e-01
7.594059405940593699e+00,9.999999999812739793e-01
7.693969396939693617e+00,9.999999999807342999e-01
7.793879387938793535e+00,9.999999999801858497e-01
7.893789378937893453e+00,9.999999999796280736e-01
7.993699369936993371e+00,9.999999999790616378e-01
8.093609360936092401e+00,9.999999999784859872e-01
8.193519351935194095e+00,9.999999999779011217e-01
8.293429342934292237e+00,9.999999999773070414e-01
8.393339333933393931e+00,9.999999999767036352e-01
8.493249324932492073e+00,9.999999999760907921e-01
8.593159315931593767e+00,9.999999999754684010e-01
8.693069306930691909e+00,9.999999999748369062e-01
8.792979297929793603e+00,9.999999999741958634e-01
8.892889288928891744e+00,9.999999999735449396e-01
8.992799279927993439e+00,9.999999999728846900e-01
9.092709270927091580e+00,9.999999999722141153e-01
9.192619261926191498e+00,9.999999999715344368e-01
9.292529252925291416e+00,9.999999999708445442e-01
9.392439243924391334e+00,9.999999999701446596e-01
9.492349234923491252e+00,9.999999999694352271e-01
9.592259225922591170e+00,9.999999999687152474e-01
9.692169216921691088e+00,9.999999999679856089e-01
9.792079207920791006e+00,9.999999999672452011e-01
9.891989198919890924e+00,9.999999999664949124e-01
9.991899189918990842e+00,9.999999999657346317e-01
1.009180918091809076e+01,9.999999999649635818e-01
1.019171917191719068e+01,9.999999999641816517e-01
1.029162916291629060e+01,9.999999999633898407e-01
1.039153915391539051e+01,9.999999999625872604e-01
1.049144914491449043e+01,9.999999999617738000e-01
1.059135913591359035e+01,9.999999999609499035e-01
1.069126912691269027e+01,9.999999999601152378e-01
1.079117911791179019e+01,9.999999999592693589e-01
