# wavelength (nm), relative flux
1.000000000000000000e+00,9.999999999999834577e-01
1.099909990999099918e+00,9.999999999999799050e-01
1.199819981998199836e+00,9.999999999999759082e-01
1.299729972997299754e+00,9.999999999999719114e-01
1.399639963996399672e+00,9.999999999999673594e-01
1.499549954995499590e+00,9.999999999999624745e-01
1.599459945994599508e+00,9.999999999999573674e-01
1.699369936993699426e+00,9.999999999999518163e-01
1.799279927992799344e+00,9.999999999999458211e-01
1.899189918991899262e+00,9.999999999999392708e-01
1.999099909990999180e+00,9.999999999999328315e-01
2.099009900990099098e+00,9.999999999999255040e-01
2.198919891989199016e+00,9.999999999999180655e-01
2.298829882988298934e+00,9.999999999999101830e-01
2.398739873987398852e+00,9.999999999999023004e-01
2.498649864986498770e+00,9.999999999998937517e-01
2.598559855985598688e+00,9.999999999998850919e-01
2.698469846984698606e+00,9.999999999998758771e-01
2.798379837983798524e+00,9.999999999998664402e-01
2.898289828982898442e+00,9.999999999998565592e-01
2.998199819981998360e+00,9.999999999998462341e-01
3.098109810981097834e+00,9.999999999998353539e-01
3.198019801980197752e+00,9.999999999998242517e-01
3.297929792979297670e+00,9.999999999998131495e-01
3.397839783978397588e+00,9.999999999998016031e-01
3.497749774977497506e+00,9.999999999997893907e-01
3.597659765976597424e+00,9.999999999997768452e-01
3.697569756975697342e+00,9.999999999997637445e-01
3.797479747974797260e+00,9.999999999997505329e-01
3.897389738973897177e+00,9.999999999997368771e-01
3.997299729972997095e+00,9.999999999997229994e-01
4.097209720972097458e+00,9.999999999997084554e-01
4.197119711971197376e+00,9.999999999996933564e-01
4.297029702970297294e+00,9.999999999996787015e-01
4.396939693969397212e+00,9.999999999996626032e-01
4.496849684968497129e+00,9.999999999996470601e-01
4.596759675967597047e+00,9.999999999996308508e-01
4.696669666966696965e+00,9.999999999996135314e-01
4.796579657965796883e+00,9.999999999995963229e-01
4.896489648964896801e+00,9.999999999995791145e-01
4.996399639963996719e+00,9.999999999995609068e-01
5.096309630963095749e+00,9.999999999995424771e-01
5.196219621962195667e+00,9.999999999995240474e-01
5.296129612961295585e+00,9.999999999995047295e-01
5.396039603960395503e+00,9.999999999994853006e-01
5.495949594959495421e+00,9.999999999994650945e-01
5.595859585958595339e+00,9.999999999994445554e-01
5.695769576957695257e+00,9.999999999994236832e-01
5.795679567956795175e+00,9.999999999994025890e-01
5.895589558955895093e+00,9.999999999993810507e-01
5.995499549954995011e+00,9.999999999993591793e-01
6.095409540954094929e+00,9.999999999993363087e-01
6.195319531953194847e+00,9.999999999993134381e-01
6.295229522952294765e+00,9.999999999992899014e-01
6.395139513951394683e+00,9.999999999992662536e-01
6.495049504950494601e+00,9.999999999992420507e-01
6.594959495949594519e+00,9.999999999992176258e-01
6.694869486948694437e+00,9.999999999991927568e-01
6.794779477947794355e+00,9.999999999991673327e-01
6.894689468946894273e+00,9.999999999991410204e-01
6.994599459945994191e+00,9.999999999991148192e-01
7.094509450945094109e+00,9.999999999990879518e-01
7.194419441944194027e+00,9.999999999990607513e-01
7.294329432943293945e+00,9.999999999990331068e-01
7.394239423942393863e+00,9.999999999990050181e-01
7.494149414941493781e+00,9.999999999989764854e-01
7.594059405940593699e+00,9.999999999989471755e-01
7.693969396939693617e+00,9.999999999989179766e-01
7.793879387938793535e+00,9.999999999988882227e-01
7.893789378937893453e+00,9.999999999988580246e-01
7.993699369936993371e+00,9.999999999988269384e-01
8.093609360936092401e+00,9.999999999987954080e-01
8.193519351935194095e+00,9.999999999987639887e-01
8.293429342934292237e+00,9.999999999987321253e-01
8.393339333933393931e+00,9.999999999986990407e-01
8.493249324932492073e+00,9.999999999986660670e-01
8.593159315931593767e+00,9.999999999986328714e-01
8.693069306930691909e+00,9.999999999985985655e-01
8.792979297929793603e+00,9.999999999985641486e-01
8.892889288928891744e+00,9.999999999985290655e-01
8.992799279927993439e+00,9.999999999984937604e-01
9.092709270927091580e+00,9.999999999984574561e-01
9.192619261926191498e+00,9.999999999984213739e-01
9.292529252925291416e+00,9.999999999983844035e-01
9.392439243924391334e+00,9.999999999983472110e-01
9.492349234923491252e+00,9.999999999983092414e-01
9.592259225922591170e+00,9.999999999982707166e-01
9.692169216921691088e+00,9.999999999982319698e-01
9.792079207920791006e+00,9.999999999981925569e-01
9.891989198919890924e+00,9.999999999981529220e-01
9.991899189918990842e+00,9.999999999981126209e-01
1.009180918091809076e+01,9.999999999980717647e-01
1.019171917191719068e+01,9.999999999980303533e-01
1.029162916291629060e+01,9.999999999979884979e-01
1.039153915391539051e+01,9.999999999979460874e-01
1.049144914491449043e+01,9.999999999979032328e-01
1.059135913591359035e+01,9.999999999978600451e-01
1.069126912691269027e+01,9.999999999978160803e-01
1.079117911791179019e+01,9.999999999977717824e-01
1.089108910891089010e+01,9.999999999977267073e-01
1.099099909990999002e+01,9.999999999976816323e-01
