# wavelength (nm), relative flux
1.000000000000000000e+00,9.999999999999128475e-01
1.099909990999099918e+00,9.999999999998944178e-01
1.199819981998199836e+00,9.999999999998737676e-01
1.299729972997299754e+00,9.999999999998517852e-01
1.399639963996399672e+00,9.999999999998276934e-01
1.499549954995499590e+00,9.999999999998016031e-01
1.599459945994599508e+00,9.999999999997739586e-01
1.699369936993699426e+00,9.999999999997439826e-01
1.799279927992799344e+00,9.999999999997120081e-01
1.899189918991899262e+00,9.999999999996783684e-01
1.999099909990999180e+00,9.999999999996425082e-01
2.099009900990099098e+00,9.999999999996052047e-01
2.198919891989199016e+00,9.999999999995657918e-01
2.298829882988298934e+00,9.999999999995239364e-01
2.398739873987398852e+00,9.999999999994801936e-01
2.498649864986498770e+00,9.999999999994346744e-01
2.598559855985598688e+00,9.999999999993871569e-01
2.698469846984698606e+00,9.999999999993370858e-01
2.798379837983798524e+00,9.999999999992855715e-01
2.898289828982898442e+00,9.999999999992310595e-01
2.998199819981998360e+00,9.999999999991748822e-01
3.098109810981097834e+00,9.999999999991164845e-01
3.198019801980197752e+00,9.999999999990560884e-01
3.297929792979297670e+00,9.999999999989935828e-01
3.397839783978397588e+00,9.999999999989285238e-01
3.497749774977497506e+00,9.999999999988616883e-01
3.597659765976597424e+00,9.999999999987924104e-01
3.697569756975697342e+00,9.999999999987208010e-01
3.797479747974797260e+00,9.999999999986471932e-01
3.897389738973897177e+00,9.999999999985706989e-01
3.997299729972997095e+00,9.999999999984922061e-01
4.097209720972097458e+00,9.999999999984116039e-01
4.197119711971197376e+00,9.999999999983284482e-01
4.297029702970297294e+00,9.999999999982431831e-01
4.396939693969397212e+00,9.999999999981553644e-01
4.496849684968497129e+00,9.999999999980646592e-01
4.596759675967597047e+00,9.999999999979717336e-01
4.696669666966696965e+00,9.999999999978764764e-01
4.796579657965796883e+00,9.999999999977791099e-01
4.896489648964896801e+00,9.999999999976785237e-01
4.996399639963996719e+00,9.999999999975758280e-01
5.096309630963095749e+00,9.999999999974703568e-01
5.196219621962195667e+00,9.999999999973622211e-01
5.296129612961295585e+00,9.999999999972515319e-01
5.396039603960395503e+00,9.999999999971385112e-01
5.495949594959495421e+00,9.999999999970223818e-01
5.595859585958595339e+00,9.999999999969036990e-01
5.695769576957695257e+00,9.999999999967821296e-01
5.795679567956795175e+00,9.999999999966578956e-01
5.895589558955895093e+00,9.999999999965306641e-01
5.995499549954995011e+00,9.999999999964009900e-01
6.095409540954094929e+00,9.999999999962683184e-01
6.195319531953194847e+00,9.999999999961324271e-01
6.295229522952294765e+00,9.999999999959938712e-01
6.395139513951394683e+00,9.999999999958525398e-01
6.495049504950494601e+00,9.999999999957077668e-01
6.594959495949594519e+00,9.999999999955598851e-01
6.694869486948694437e+00,9.999999999954092278e-01
6.794779477947794355e+00,9.999999999952555729e-01
6.894689468946894273e+00,9.999999999950981433e-01
6.994599459945994191e+00,9.999999999949379381e-01
7.094509450945094109e+00,9.999999999947747353e-01
7.194419441944194027e+00,9.999999999946075357e-01
7.294329432943293945e+00,9.999999999944375606e-01
7.394239423942393863e+00,9.999999999942638107e-01
7.494149414941493781e+00,9.999999999940867301e-01
7.594059405940593699e+00,9.999999999939059858e-01
7.693969396939693617e+00,9.999999999937220219e-01
7.793879387938793535e+00,9.999999999935342831e-01
7.893789378937893453e+00,9.999999999933427697e-01
7.993699369936993371e+00,9.999999999931473704e-01
8.093609360936092401e+00,9.999999999929484185e-01
8.193519351935194095e+00,9.999999999927454697e-01
8.293429342934292237e+00,9.999999999925381911e-01
8.393339333933393931e+00,9.999999999923272487e-01
8.493249324932492073e+00,9.999999999921125315e-01
8.593159315931593767e+00,9.999999999918929294e-01
8.693069306930691909e+00,9.999999999916692195e-01
8.792979297929793603e+00,9.999999999914414017e-01
8.892889288928891744e+00,9.999999999912086990e-01
8.992799279927993439e+00,9.999999999909715553e-01
9.092709270927091580e+00,9.999999999907296377e-01
9.192619261926191498e+00,9.999999999904829462e-01
9.292529252925291416e+00,9.999999999902312586e-01
9.392439243924391334e+00,9.999999999899745751e-01
9.492349234923491252e+00,9.999999999897124514e-01
9.592259225922591170e+00,9.999999999894451097e-01
9.692169216921691088e+00,9.999999999891724389e-01
9.792079207920791006e+00,9.999999999888934399e-01
9.891989198919890924e+00,9.999999999886091118e-01
9.991899189918990842e+00,9.999999999883186774e-01
1.009180918091809076e+01,9.999999999880215817e-01
1.019171917191719068e+01,9.999999999877181578e-01
1.029162916291629060e+01,9.999999999874079615e-01
1.039153915391539051e+01,9.999999999870907708e-01
1.049144914491449043e+01,9.999999999867663636e-01
1.059135913591359035e+01,9.999999999864340738e-01
1.069126912691269027e+01,9.999999999860943456e-01
1.079117911791179019e+01,9.999999999857457356e-01
1.089108910891089010e+01,9.999999999853892430e-01
1.099099909990999002e+01,9.999999999850233134e-01
1.109090909090908994e+01,9.999999999846477250e-01
1.119081908190818986e+01,9.999999999842621445e-01
1.129072907290728978e+01,9.999999999838661280e-01
1.139063906390638969e+01,9.999999999834593423e-01
1.149054905490548961e+01,9.999999999830407882e-01
1.159045904590458953e+01,9.999999999826092445e-01
1.169036903690368945e+01,9.999999999821647112e-01
1.179027902790278937e+01,9.999999999817064111e-01
1.189018901890188928e+01,9.999999999812329010e-01
1.199009900990098920e+01,9.999999999807429596e-01
1.209000900090008912e+01,9.999999999802365869e-01
1.218991899189918904e+01,9.999999999797108963e-01
1.228982898289828896e+01,9.999999999791659988e-01
1.238973897389738887e+01,9.999999999785991189e-01
1.248964896489648879e+01,9.999999999780091464e-01
1.258955895589558871e+01,9.999999999773934167e-01
1.268946894689468863e+01,9.999999999767503756e-01
1.278937893789378855e+01,9.999999999760769143e-01
1.288928892889288846e+01,9.999999999753707014e-01
1.298919891989198838e+01,9.999999999746277402e-01
1.308910891089108830e+01,9.999999999738442558e-01
1.318901890189018822e+01,9.999999999730166955e-01
1.328892889288928814e+01,9.999999999721390642e-01
1.338883888388838805e+01,9.999999999712061438e-01
1.348874887488748797e+01,9.999999999702106068e-01
1.358865886588658789e+01,9.999999999691457919e-01
1.368856885688568781e+01,9.999999999680014851e-01
1.378847884788478773e+01,9.999999999667672501e-01
1.388838883888388764e+01,9.999999999654304306e-01
1.398829882988298756e+01,9.999999999639754833e-01
1.408820882088208748e+01,9.999999999623849778e-01
1.418811881188118740e+01,9.999999999606364876e-01
1.428802880288028732e+01,9.999999999587035893e-01
1.438793879387938723e+01,9.999999999565540865e-01
1.448784878487848715e+01,9.999999999541477891e-01
1.458775877587758707e+01,9.999999999514349591e-01
1.468766876687668699e+01,9.999999999483536461e-01
1.478757875787578691e+01,9.999999999448241361e-01
1.488748874887488682e+01,9.999999999407457318e-01
1.498739873987398674e+01,9.999999999359858727e-01
1.508730873087308666e+01,9.999999999303702536e-01
1.518721872187218658e+01,9.999999999236662829e-01
1.528712871287128650e+01,9.999999999155542163e-01
1.538703870387038641e+01,9.999999999055917410e-01
1.548694869486948633e+01,9.999999998931471401e-01
1.558685868586858625e+01,9.999999998772948206e-01
1.568676867686768617e+01,9.999999998566388992e-01
1.578667866786678609e+01,9.999999998289899050e-01
1.588658865886588600e+01,9.999999997907640381e-01
1.598649864986498592e+01,9.999999997357621462e-01
1.608640864086408584e+01,9.999999996525066326e-01
1.618631863186318753e+01,9.999999995177853984e-01
1.628622862286228568e+01,9.999999992787105274e-01
1.638613861386138382e+01,9.999999987922808531e-01
1.648604860486048551e+01,9.999999975519180406e-01
1.658595859585958721e+01,9.999999925661489097e-01
1.668586858685868535e+01,9.999998879969018706e-01
1.678577857785778349e+01,9.999999669348066389e-01
1.688568856885688518e+01,9.999999948084832280e-01
1.698559855985598688e+01,9.999999979427898200e-01
1.708550855085508502e+01,9.999999988853294219e-01
1.718541854185418316e+01,9.999999992904881063e-01
1.728532853285328486e+01,9.999999995012195386e-01
1.738523852385238300e+01,9.999999996247184164e-01
1.748514851485148469e+01,9.999999997032679167e-01
1.758505850585058283e+01,9.999999997562929455e-01
1.768496849684968453e+01,9.999999997937408791e-01
1.778487848784878267e+01,9.999999998211364094e-01
1.788478847884788436e+01,9.999999998417502534e-01
1.798469846984698250e+01,9.999999998576193372e-01
1.808460846084608420e+01,9.999999998700676018e-01
1.818451845184518234e+01,9.999999998799850021e-01
1.828442844284428404e+01,9.999999998879880447e-01
1.838433843384338218e+01,9.999999998945162671e-01
1.848424842484248387e+01,9.999999998998874151e-01
1.858415841584158201e+01,9.999999999043392984e-01
1.868406840684068371e+01,9.999999999080491087e-01
1.878397839783978185e+01,9.999999999111542914e-01
1.888388838883888354e+01,9.999999999137606510e-01
1.898379837983798168e+01,9.999999999159512321e-01
1.908370837083708338e+01,9.999999999177926480e-01
1.918361836183618152e+01,9.999999999193385225e-01
